customerID,Churn,Genero,Idoso,Parceiro,Dependentes,Meses_Cliente,Servico_Celular,Linhas_Adicionais,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,TV_Streaming,Filmes_Streaming,Contrato,Faturamento_Sem_Papel,Metodo_de_Pagamento,Faturamento_Mensal,Faturamento_Total,Contas_Diarias,Churn_Num
0002-ORFBO,Não,Feminino,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,1 Ano,Sim,Cheque Enviado,65.6,593.3,2.1866666666666665,0
0003-MKNFE,Não,Masculino,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque Enviado,59.9,542.4,1.9966666666666666,0
0004-TLHLJ,Sim,Masculino,Não,Não,Não,4,Sim,Não,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,73.9,280.85,2.4633333333333334,1
0011-IGKFF,Sim,Masculino,Sim,Sim,Não,13,Sim,Não,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrônico,98.0,1237.85,3.2666666666666666,1
0013-EXCHZ,Sim,Feminino,Sim,Sim,Não,3,Sim,Não,Fibra Óptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque Enviado,83.9,267.4,2.796666666666667,1
0013-MHZWF,Não,Feminino,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito (Automático),69.4,571.45,2.3133333333333335,0
0013-SMEOE,Não,Feminino,Sim,Sim,Não,71,Sim,Não,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Transferência Bancária (Automática),109.7,7904.25,3.6566666666666667,0
0014-BMAQU,Não,Masculino,Não,Sim,Não,63,Sim,Sim,Fibra Óptica,Sim,Não,Não,Sim,Não,Não,2 Anos,Sim,Cartão de Crédito (Automático),84.65,5377.8,2.8216666666666668,0
0015-UOCOJ,Não,Feminino,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrônico,48.2,340.35,1.6066666666666667,0
0016-QLJIS,Não,Feminino,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 Anos,Sim,Cheque Enviado,90.45,5957.9,3.015,0
0017-DINOC,Não,Masculino,Não,Não,Não,54,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,2 Anos,Não,Cartão de Crédito (Automático),45.2,2460.55,1.5066666666666668,0
